id_prod,nombre,direccion,precio,stock,imagen_url,fecha_creacion,proveedor
1,Sandalias Repellendus,"Vial de Nerea Egea 97, Girona, 36336",9507.12,83,https://picsum.photos/200/300?random=1,2024-01-02,Alimentación Ibéricos S.L.
2,Vajilla Nobis,"Acceso de Zaira Santamaria 31 Apt. 94 , Guadalajara, 10350",4039.3,180,https://picsum.photos/200/300?random=2,2023-12-30,Banca Privada Río y asociados S.L.
3,Plancha Magni,"Avenida Vera Morell 22 Puerta 7 , Guipúzcoa, 33750",4911.4,71,https://picsum.photos/200/300?random=3,2025-01-24,Nieto y Carpio S.A.
4,Juego de Mesa Odit,"Acceso Salomé Juliá 7, Madrid, 30816",9477.93,194,https://picsum.photos/200/300?random=4,2025-04-14,Compañía Hervia & Asociados S.Com.
5,Bufanda Neque,"Ronda David Paredes 60, Vizcaya, 34695",2137.68,13,https://picsum.photos/200/300?random=5,2023-09-02,Construcción IE S.Com.
6,Raqueta Iusto,"Rambla Luis Miguel Berrocal 73, Las Palmas, 11382",6977.23,0,https://picsum.photos/200/300?random=6,2023-05-08,José Mendez Almagro S.A.
7,Colador Debitis,"Glorieta Sarita Diaz 76 Apt. 71 , Zaragoza, 09979",2323.77,195,https://picsum.photos/200/300?random=7,2023-07-14,Restauración Asensio y asociados S.Com.
8,Pendientes Dolorem,"Paseo de Joel Manzanares 9 Piso 9 , Cádiz, 45708",7370.08,59,https://picsum.photos/200/300?random=8,2025-01-15,Ferrera y Aragonés S.L.
9,Cuadro Eaque,"Calle de Alba Ferrero 36 Apt. 36 , Alicante, 05117",3314.37,60,https://picsum.photos/200/300?random=9,2023-10-20,Ale Blanes Asenjo S.L.N.E
10,Revista Laborum,"Acceso Claudia Guerrero 703 Puerta 4 , Sevilla, 41141",6121.64,104,https://picsum.photos/200/300?random=10,2024-03-31,Grupo Durán S.L.N.E
11,Guía Possimus,"Via Sigfrido Gras 6, Almería, 45567",2885.96,21,https://picsum.photos/200/300?random=11,2024-03-28,Comercializadora Barriga y asociados S.Coop.
12,Sudadera Numquam,"Callejón Áurea Arteaga 90, Cantabria, 33584",8547.44,26,https://picsum.photos/200/300?random=12,2024-04-27,Farmaceútica Amo & Asociados S.C.P
13,Olla Tempore,"Acceso de Adoración Bueno 34 Piso 8 , Jaén, 37744",7709.9,99,https://picsum.photos/200/300?random=13,2024-11-12,Grupo Benitez S.Coop.
14,Enciclopedia Tempore,"Acceso Lino Barragán 757, Zaragoza, 32544",1037.07,73,https://picsum.photos/200/300?random=14,2025-03-11,Hermanos Pina S.A.
15,Botas de Agua Dolores,"Pasaje de Eliseo Carrera 7 Puerta 3 , Ávila, 20613",9412.2,162,https://picsum.photos/200/300?random=15,2025-03-29,Farmaceútica Baena y asociados S.A.
16,Reloj Praesentium,"Via Lupita Sanjuan 85, Burgos, 16796",4403.07,63,https://picsum.photos/200/300?random=16,2023-06-16,Supermercados Parra y asociados S.C.P
17,Smartwatch Quis,"Cuesta Chelo Estrada 3, Cáceres, 29805",589.6,172,https://picsum.photos/200/300?random=17,2025-04-02,Martinez y Diaz S.L.
18,Silla de Comedor Deleniti,"Ronda Marcela Angulo 416, La Coruña, 04381",6037.12,55,https://picsum.photos/200/300?random=18,2023-06-05,Hermanos Aragonés S.A.T.
19,Micrófono Officia,"Glorieta Edelmiro Cases 3 Puerta 1 , Ávila, 30125",2066.2,53,https://picsum.photos/200/300?random=19,2025-05-05,Cal y asociados S.A.
20,Zapatos de Goma Fugiat,"Urbanización de Haydée Beltran 40, Guipúzcoa, 12275",2646.79,188,https://picsum.photos/200/300?random=20,2023-12-21,Adadia y asociados S.L.
21,Sudadera Assumenda,"Avenida de Segismundo Domínguez 49, Baleares, 33210",2596.81,93,https://picsum.photos/200/300?random=21,2024-01-26,Grupo Gomez S.L.N.E
22,Cuchillo Ipsum,"Paseo de Lucio Domingo 68, Teruel, 40564",7214.9,179,https://picsum.photos/200/300?random=22,2025-03-07,Fábrica Naranjo y asociados S.A.
23,Altavoz Veritatis,"Camino de Lino Puig 26 Apt. 14 , Alicante, 16002",4520.22,28,https://picsum.photos/200/300?random=23,2024-09-07,Ricart y Losa S.L.L.
24,Cortinas Rem,"Urbanización de Primitiva Tenorio 4, La Coruña, 24225",1158.97,109,https://picsum.photos/200/300?random=24,2025-05-05,Hnos Castellanos S.L.N.E
25,Sudadera Rerum,"C. Ruy Ferrero 78, Tarragona, 12671",4531.98,147,https://picsum.photos/200/300?random=25,2023-06-10,Distribuciones BL S.L.
